Anime_id,Title,Genres,Type,Episodes,Score,Rank,Members,Popularity,Season,Studio
1,Cowboy Bebop,"Action,Award Winning,Sci-Fi",TV,26,8.75,#40,"1,761,160",#43,Spring 1998,Sunrise
5,Cowboy Bebop: Tengoku no Tobira,"Action,Sci-Fi",Movie,1,8.38,#192,"359,135",#601,,Bones
6,Trigun,"Action,Adventure,Sci-Fi",TV,26,8.22,#317,"722,661",#246,Spring 1998,Madhouse
7,Witch Hunter Robin,"Action,Drama,Mystery,Supernatural",TV,26,7.25,#2789,"111,497",#1789,Summer 2002,Sunrise
8,Bouken Ou Beet,"Adventure,Fantasy,Supernatural",TV,52,6.94,#4236,"14,937",#5105,Fall 2004,Toei Animation
15,Eyeshield 21,Sports,TV,145,7.92,#690,"177,055",#1243,Spring 2005,Gallop
16,Hachimitsu to Clover,"Comedy,Drama,Romance",TV,24,8.00,#587,"259,109",#858,Spring 2005,J.C.Staff
17,Hungry Heart: Wild Striker,"Comedy,Slice of Life,Sports",TV,52,7.55,#1558,"24,083",#4205,Fall 2002,Nippon Animation
18,Initial D Fourth Stage,"Action,Drama",TV,24,8.16,#391,"172,212",#1277,Spring 2004,A.C.G.T.
19,Monster,"Drama,Mystery,Suspense",TV,74,8.87,#27,"999,647",#144,Spring 2004,Madhouse
20,Naruto,"Action,Adventure,Fantasy",TV,220,7.98,#614,"2,702,446",#8,Fall 2002,Pierrot
21,One Piece,"Action,Adventure,Fantasy",TV,Unknown,8.69,#55,"2,151,279",#20,Fall 1999,Toei Animation
22,Tennis no Ouji-sama,Sports,TV,178,7.86,#795,"177,443",#1239,Fall 2001,Trans Arts
23,Ring ni Kakero 1,"Action,Sports",TV,12,6.39,#6946,"4,546",#8277,Fall 2004,Toei Animation
24,School Rumble,"Comedy,Romance",TV,26,7.89,#763,"319,283",#682,Fall 2004,Studio Comet
25,Sunabouzu,"Action,Adventure,Comedy,Sci-Fi,Ecchi",TV,24,7.38,#2162,"134,253",#1540,Fall 2004,Gonzo
26,Texhnolyze,"Action,Drama,Sci-Fi",TV,22,7.77,#973,"237,881",#934,Spring 2003,Madhouse
27,Trinity Blood,"Action,Supernatural",TV,24,7.29,#2561,"179,060",#1225,Spring 2005,Gonzo
28,Yakitate!! Japan,"Comedy,Gourmet",TV,69,7.91,#719,"95,065",#1988,Fall 2004,Sunrise
29,Zipang,"Action,Drama,Sci-Fi",TV,26,7.48,#1762,"21,267",#4421,Fall 2004,Studio Deen
30,Neon Genesis Evangelion,"Action,Avant Garde,Award Winning,Drama,Sci-Fi,Suspense",TV,26,8.35,#209,"1,706,886",#45,Fall 1995,Gainax
31,Neon Genesis Evangelion: Death & Rebirth,"Drama,Sci-Fi",Movie,1,7.46,#1824,"250,155",#888,,Gainax
32,Neon Genesis Evangelion: The End of Evangelion,"Avant Garde,Drama,Sci-Fi",Movie,1,8.55,#99,"872,963",#178,,Gainax
33,Kenpuu Denki Berserk,"Action,Adventure,Drama,Fantasy,Horror",TV,25,8.56,#97,"603,499",#327,Fall 1997,OLM
43,Koukaku Kidoutai,"Action,Award Winning,Mystery,Sci-Fi,Suspense",Movie,1,8.27,#277,"600,553",#329,,Production I.G
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action,Drama,Romance",OVA,4,8.71,#47,"267,789",#831,,Studio Deen
45,Rurouni Kenshin: Meiji Kenkaku Romantan,"Action,Adventure,Comedy,Romance",TV,94,8.29,#248,"475,449",#429,Winter 1996,Gallop
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Drama,Movie,1,7.55,#1538,"50,558",#2881,,Gallop
47,Akira,"Action,Adventure,Horror,Sci-Fi,Supernatural",Movie,1,8.16,#387,"798,265",#208,,Tokyo Movie Shinsha
48,.hack//Sign,"Adventure,Fantasy,Mystery",TV,26,6.95,#4171,"178,165",#1234,Spring 2002,Bee Train
49,Aa! Megami-sama!,"Comedy,Romance,Supernatural",OVA,5,7.29,#2538,"52,438",#2819,,AIC
50,Aa! Megami-sama! (TV),"Comedy,Romance,Supernatural",TV,24,7.32,#2402,"155,284",#1387,Winter 2005,AIC
51,Tenshi Kinryouku,"Action,Drama,Romance,Supernatural",OVA,3,6.27,#7542,"48,123",#2951,,Hal Film Maker
52,Kidou Tenshi Angelic Layer,"Award Winning,Comedy,Drama,Sci-Fi,Sports",TV,26,7.26,#2727,"57,043",#2694,Spring 2001,Bones
53,Ai Yori Aoshi,"Comedy,Drama,Romance",TV,24,7.11,#3467,"108,145",#1834,Spring 2002,J.C.Staff
54,Appleseed (Movie),"Action,Drama,Sci-Fi",Movie,1,7.07,#3662,"71,996",#2360,,Digital Frontier
55,Arc the Lad,"Action,Adventure,Fantasy,Horror,Sci-Fi",TV,26,6.51,#6296,"15,951",#4993,Spring 1999,Bee Train
56,Avenger,"Adventure,Fantasy,Sci-Fi",TV,13,5.86,#9430,"17,345",#4836,Fall 2003,Bee Train
57,Beck,"Comedy,Drama,Slice of Life",TV,26,8.29,#253,"325,108",#668,Fall 2004,Madhouse
58,Blue Gender,"Adventure,Drama,Horror,Romance,Sci-Fi",TV,26,7.03,#3864,"77,832",#2246,Fall 1999,AIC
59,Chobits,"Comedy,Drama,Romance,Sci-Fi,Ecchi",TV,26,7.40,#2080,"467,923",#438,Spring 2002,Madhouse
60,Chrno Crusade,"Action,Romance,Supernatural",TV,24,7.62,#1316,"221,160",#1004,Fall 2003,Gonzo
61,D.N.Angel,"Action,Comedy,Fantasy,Romance",TV,26,7.17,#3173,"181,870",#1203,Spring 2003,Xebec
62,D.C.: Da Capo,"Drama,Romance",TV,26,6.72,#5211,"74,682",#2310,Summer 2003,feel.
63,DearS,"Comedy,Romance,Sci-Fi,Ecchi",TV,12,6.56,#6029,"145,184",#1452,Summer 2004,Daume
64,Rozen Maiden,"Action,Comedy,Drama",TV,12,7.41,#2058,"198,972",#1115,Fall 2004,Nomad
65,Rozen Maiden: Träumend,"Action,Comedy,Drama",TV,12,7.62,#1346,"102,693",#1893,Fall 2005,Nomad
66,Azumanga Daiou The Animation,"Comedy,Slice of Life",TV,26,7.99,#599,"325,109",#667,Spring 2002,J.C.Staff
67,Basilisk: Kouga Ninpou Chou,"Action,Drama,Romance",TV,24,7.55,#1545,"181,289",#1209,Spring 2005,Gonzo
68,Black Cat (TV),"Action,Adventure,Sci-Fi",TV,23,7.33,#2385,"263,834",#841,Fall 2005,Gonzo
69,Cluster Edge,"Action,Fantasy,Sci-Fi",TV,25,6.32,#7275,"10,533",#5880,Fall 2005,Sunrise
71,Full Metal Panic!,"Action,Comedy,Sci-Fi",TV,24,7.61,#1360,"480,328",#418,Winter 2002,Gonzo
72,Full Metal Panic? Fumoffu,"Action,Comedy",TV,12,8.03,#549,"288,282",#766,Summer 2003,Kyoto Animation
73,Full Metal Panic! The Second Raid,Action,TV,13,7.93,#684,"254,610",#872,Summer 2005,Kyoto Animation
74,Gakuen Alice,"Comedy,Fantasy",TV,26,7.64,#1279,"96,843",#1970,Fall 2004,Group TAC
75,Soukyuu no Fafner: Dead Aggressor,"Action,Drama,Sci-Fi",TV,25,7.26,#2746,"46,876",#2994,Summer 2004,Xebec
76,Mahou Shoujo Lyrical Nanoha,"Action,Comedy,Drama",TV,13,7.41,#2051,"100,752",#1915,Fall 2004,Seven Arcs
77,Mahou Shoujo Lyrical Nanoha A's,"Action,Comedy,Drama",TV,13,7.97,#618,"63,465",#2550,Fall 2005,Seven Arcs
79,Shuffle!,"Comedy,Drama,Fantasy,Romance,Ecchi",TV,24,7.03,#3855,"272,738",#818,Summer 2005,asread.
80,Kidou Senshi Gundam,"Action,Drama,Sci-Fi",TV,43,7.76,#985,"125,938",#1628,Spring 1979,Sunrise
81,Kidou Senshi Gundam: Dai 08 MS Shoutai,"Adventure,Drama,Romance,Sci-Fi",OVA,12,8.01,#576,"79,114",#2223,,Sunrise
82,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,"Drama,Sci-Fi",OVA,6,7.96,#634,"56,345",#2717,,Sunrise
83,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,"Drama,Romance,Sci-Fi",Movie,1,6.76,#5000,"13,238",#5366,,Sunrise
84,Kidou Senshi Gundam 0083: Stardust Memory,"Adventure,Drama,Romance,Sci-Fi",OVA,13,7.25,#2748,"42,289",#3168,,Sunrise
85,Kidou Senshi Zeta Gundam,"Drama,Romance,Sci-Fi",TV,50,7.89,#757,"70,066",#2401,Spring 1985,Sunrise
86,Kidou Senshi Gundam ZZ,"Comedy,Drama,Sci-Fi",TV,47,6.67,#5459,"40,289",#3251,Spring 1986,Sunrise
87,Kidou Senshi Gundam: Gyakushuu no Char,"Drama,Sci-Fi",Movie,1,7.66,#1224,"46,547",#3000,,Sunrise
88,Kidou Senshi Gundam F91,"Drama,Sci-Fi",Movie,1,6.62,#5710,"30,317",#3772,,Sunrise
89,Kidou Senshi Victory Gundam,"Drama,Sci-Fi",TV,51,6.74,#5102,"26,208",#4034,Spring 1993,Sunrise
90,Shin Kidou Senki Gundam Wing,"Action,Drama,Sci-Fi",TV,49,7.69,#1167,"155,178",#1389,Spring 1995,Sunrise
91,Shin Kidou Senki Gundam Wing: Endless Waltz,"Action,Award Winning,Drama,Sci-Fi",OVA,3,7.74,#1050,"47,067",#2990,,Sunrise
92,Kidou Shinseiki Gundam X,"Adventure,Drama,Sci-Fi",TV,39,7.33,#2359,"34,642",#3525,Spring 1996,Sunrise
93,Kidou Senshi Gundam SEED,"Action,Award Winning,Drama,Romance,Sci-Fi",TV,50,7.75,#1008,"163,754",#1326,Fall 2002,Sunrise
94,Kidou Senshi Gundam SEED Destiny,"Action,Drama,Romance,Sci-Fi",TV,50,7.18,#3119,"103,639",#1882,Fall 2004,Sunrise
95,Turn A Gundam,"Action,Adventure,Award Winning,Drama,Romance,Sci-Fi",TV,50,7.74,#1045,"45,378",#3041,Spring 1999,Sunrise
96,Kidou Butouden G Gundam,"Adventure,Comedy,Drama,Romance,Sci-Fi,Sports",TV,49,7.57,#1457,"66,511",#2477,Spring 1994,Sunrise
97,Last Exile,"Action,Adventure,Sci-Fi",TV,26,7.79,#927,"169,522",#1293,Spring 2003,Gonzo
98,Mai-HiME,"Action,Fantasy,Girls Love",TV,26,7.42,#1987,"112,901",#1773,Fall 2004,Sunrise
99,Mai-Otome,"Comedy,Drama,Fantasy",TV,26,7.28,#2602,"50,340",#2886,Fall 2005,Sunrise
100,Shin Shirayuki-hime Densetsu Prétear,"Comedy,Drama,Fantasy,Romance",TV,13,7.16,#3240,"61,907",#2581,Spring 2001,Hal Film Maker
101,Air,"Drama,Romance,Supernatural",TV,12,7.28,#2627,"291,555",#756,Winter 2005,Kyoto Animation
102,Aishiteruze Baby★★,"Comedy,Drama,Romance",TV,26,7.44,#1891,"100,907",#1912,Spring 2004,TMS Entertainment
103,Akazukin Chacha,"Adventure,Comedy,Fantasy,Romance",TV,74,7.48,#1777,"14,804",#5128,Winter 1994,Gallop
104,Ayashi no Ceres,"Adventure,Drama,Horror,Romance,Supernatural,Suspense",TV,24,7.19,#3083,"60,479",#2621,Spring 2000,Pierrot
105,Boys Be...,"Comedy,Romance,Slice of Life",TV,13,6.40,#6878,"22,859",#4289,Spring 2000,Hal Film Maker
106,Hana yori Dango,"Drama,Romance",TV,51,7.61,#1363,"59,529",#2639,Fall 1996,Toei Animation
107,Ou Dorobou Jing,"Adventure,Comedy,Fantasy,Sci-Fi",TV,13,7.19,#3068,"36,815",#3426,Spring 2002,Studio Deen
108,Ou Dorobou Jing in Seventh Heaven,"Adventure,Comedy,Fantasy",OVA,3,7.26,#2756,"12,842",#5429,,Studio Deen
109,Bakuretsu Tenshi,"Adventure,Comedy,Sci-Fi",TV,24,6.79,#4887,"69,053",#2425,Spring 2004,Gonzo
110,Chuuka Ichiban!,"Action,Comedy,Drama,Gourmet",TV,52,7.58,#1434,"19,194",#4631,Spring 1997,Nippon Animation
111,Corrector Yui,"Adventure,Comedy,Sci-Fi",TV,52,6.95,#4182,"15,640",#5021,Spring 1999,Nippon Animation
112,Chou Henshin Cosprayers,"Action,Adventure,Comedy,Fantasy,Sci-Fi,Ecchi",TV,8,4.82,#12108,"8,537",#6401,Winter 2004,Imagin
113,Uchuu no Stellvia,"Action,Romance,Sci-Fi",TV,26,7.37,#2212,"23,975",#4211,Spring 2003,Xebec
114,Sakigake!! Cromartie Koukou,Comedy,TV,26,7.90,#729,"133,935",#1541,Fall 2003,Production I.G
115,El Hazard: The Alternative World,"Adventure,Comedy,Fantasy",TV,13,6.79,#4898,"11,325",#5702,Winter 1998,AIC
116,El Hazard: The Wanderers,"Adventure,Comedy,Fantasy,Romance",TV,26,6.93,#4249,"17,414",#4829,Fall 1995,AIC
117,El Hazard: The Magnificent World,"Adventure,Comedy,Fantasy,Romance",OVA,7,7.26,#2718,"18,762",#4678,,AIC
118,El Hazard 2: The Magnificent World,"Adventure,Comedy,Fantasy",OVA,4,6.78,#4924,"8,982",#6286,,AIC
119,Final Approach,"Comedy,Drama,Romance",TV,13,6.52,#6277,"35,042",#3513,Fall 2004,Trinet Entertainment
120,Fruits Basket,"Drama,Romance,Supernatural",TV,26,7.68,#1178,"523,025",#386,Summer 2001,Studio Deen
121,Fullmetal Alchemist,"Action,Adventure,Award Winning,Drama,Fantasy",TV,51,8.11,#452,"1,421,761",#76,Fall 2003,Bones
122,Full Moon wo Sagashite,"Comedy,Drama,Romance,Supernatural",TV,52,7.94,#667,"106,003",#1855,Spring 2002,Studio Deen
123,Fushigi Yuugi,"Adventure,Fantasy,Romance",TV,52,7.62,#1322,"115,381",#1742,Spring 1995,Pierrot
124,Fushigi Yuugi: Eikouden,"Adventure,Drama,Fantasy,Romance",OVA,4,6.82,#4764,"17,551",#4816,,Pierrot
125,Futakoi,"Comedy,Romance",TV,13,6.44,#6676,"34,605",#3527,Fall 2004,Telecom Animation Film
126,Futakoi Alternative,"Comedy,Drama,Romance",TV,13,6.86,#4579,"30,883",#3738,Spring 2005,ufotable
127,Gate Keepers,"Action,Comedy,Fantasy,Sci-Fi",TV,24,6.91,#4369,"21,673",#4391,Spring 2000,Gonzo
128,Gate Keepers 21,"Action,Drama,Sci-Fi",OVA,6,6.74,#5128,"10,382",#5916,,Gonzo
129,Gensoumaden Saiyuuki,"Action,Adventure,Comedy,Drama,Supernatural",TV,50,7.55,#1553,"53,694",#2780,Spring 2000,Pierrot
130,Saiyuuki Reload,"Action,Adventure,Comedy,Drama,Supernatural",TV,25,7.37,#2186,"34,143",#3548,Fall 2003,Pierrot
131,Saiyuuki Reload Gunlock,"Action,Adventure,Comedy,Drama,Supernatural",TV,26,7.37,#2187,"22,927",#4282,Spring 2004,Pierrot
132,GetBackers,"Action,Mystery,Supernatural",TV,49,7.58,#1443,"119,543",#1697,Fall 2002,Studio Deen
133,Green Green,"Comedy,Romance,Ecchi",TV,12,6.15,#8093,"115,222",#1745,Summer 2003,Studio Matrix
134,Gunslinger Girl,"Action,Drama,Sci-Fi",TV,13,7.39,#2123,"184,408",#1189,Fall 2003,Madhouse
135,Hikaru no Go,"Comedy,Drama,Supernatural",TV,75,8.08,#491,"133,100",#1550,Fall 2001,Pierrot
136,Hunter x Hunter,"Action,Adventure,Fantasy",TV,62,8.41,#171,"561,897",#355,Fall 1999,Nippon Animation
137,Hunter x Hunter: Original Video Animation,"Action,Adventure,Fantasy",OVA,8,8.31,#241,"122,161",#1662,,Nippon Animation
138,Hunter x Hunter: Greed Island,"Action,Adventure,Fantasy",OVA,8,8.18,#376,"149,480",#1423,,Nippon Animation
139,Hunter x Hunter: Greed Island Final,"Action,Adventure,Fantasy",OVA,14,8.25,#291,"138,876",#1503,,Nippon Animation
141,Jinki:Extend,Sci-Fi,TV,12,6.10,#8375,"11,363",#5692,Winter 2005,feel.
142,Kamikaze Kaitou Jeanne,"Action,Drama,Mystery,Romance,Supernatural",TV,44,7.46,#1849,"54,620",#2757,Winter 1999,Toei Animation
143,Kannazuki no Miko,"Drama,Girls Love,Romance,Supernatural",TV,12,6.81,#4790,"68,956",#2427,Fall 2004,TNK
144,Kanon,"Drama,Romance,Supernatural",TV,13,7.07,#3681,"64,092",#2535,Winter 2002,Toei Animation
145,Kareshi Kanojo no Jijou,"Comedy,Drama,Romance",TV,26,7.59,#1400,"219,227",#1015,Fall 1998,Gainax
146,Kono Minikuku mo Utsukushii Sekai,"Comedy,Drama,Romance,Sci-Fi,Ecchi",TV,12,6.71,#5254,"59,591",#2636,Spring 2004,Gainax
147,Kimi ga Nozomu Eien,"Drama,Romance",TV,14,7.18,#3120,"138,813",#1504,Fall 2003,Studio Fantasia
148,Kita e.: Diamond Dust Drops,"Drama,Romance",TV,12,6.56,#6000,"9,012",#6277,Winter 2004,Studio Deen
149,Loveless,"Action,Boys Love,Drama,Mystery,Supernatural",TV,12,6.76,#5003,"137,490",#1518,Spring 2005,J.C.Staff
150,Blood+,"Action,Drama,Horror,Mystery,Supernatural",TV,50,7.62,#1315,"366,552",#590,Fall 2005,Production I.G
151,Re: Cutey Honey,"Action,Comedy,Girls Love,Sci-Fi,Ecchi",OVA,3,7.10,#3520,"27,940",#3919,,Gainax
152,Solty Rei,"Action,Sci-Fi",TV,24,7.27,#2686,"29,169",#3846,Fall 2005,Gonzo
153,Juuni Kokuki,"Action,Adventure,Fantasy",TV,45,8.02,#567,"143,401",#1466,Spring 2002,Pierrot
154,Shaman King,"Action,Adventure,Comedy,Supernatural",TV,64,7.75,#1018,"354,938",#610,Summer 2001,Xebec
155,X/1999,"Action,Drama,Fantasy,Horror,Sci-Fi,Supernatural",Movie,1,6.57,#5985,"36,674",#3438,,Madhouse
156,X,"Action,Drama,Fantasy,Romance",TV,24,7.40,#2093,"79,930",#2211,Fall 2001,Madhouse
157,Mahou Sensei Negima!,"Comedy,Fantasy,Romance,Supernatural,Ecchi",TV,26,6.94,#4211,"137,684",#1514,Winter 2005,Xebec
158,Maria-sama ga Miteru,"Drama,Girls Love",TV,13,7.29,#2572,"66,916",#2471,Winter 2004,Studio Deen
159,Boukyaku no Senritsu,"Adventure,Fantasy,Horror,Sci-Fi,Supernatural",TV,24,6.28,#7506,"18,414",#4726,Spring 2004,Gainax
160,"Ima, Soko ni Iru Boku","Adventure,Drama,Fantasy,Sci-Fi",TV,13,7.61,#1366,"138,188",#1507,Fall 1999,AIC
161,Peace Maker Kurogane,"Action,Comedy",TV,24,7.30,#2512,"56,553",#2710,Fall 2003,Gonzo
162,Pita Ten,"Comedy,Fantasy,Romance",TV,26,6.93,#4281,"23,200",#4263,Spring 2002,Madhouse
163,Power Stone,"Adventure,Comedy,Fantasy",TV,26,6.54,#6149,"7,701",#6696,Spring 1999,Pierrot
164,Mononoke Hime,"Action,Adventure,Award Winning,Fantasy",Movie,1,8.67,#59,"1,183,687",#105,,Studio Ghibli
165,RahXephon,"Action,Award Winning,Drama,Mystery,Romance,Sci-Fi",TV,26,7.39,#2110,"115,697",#1739,Winter 2002,Bones
166,Samurai 7,Sci-Fi,TV,26,7.44,#1934,"127,814",#1607,Summer 2004,Gonzo
167,Scrapped Princess,"Adventure,Comedy,Drama,Fantasy,Sci-Fi",TV,24,7.38,#2158,"93,061",#2012,Spring 2003,Bones
168,s.CRY.ed,"Action,Adventure,Drama,Sci-Fi",TV,26,7.36,#2234,"80,866",#2195,Summer 2001,Sunrise
169,Shingetsutan Tsukihime,"Action,Horror,Mystery,Romance,Supernatural",TV,12,6.82,#4750,"162,500",#1337,Fall 2003,J.C.Staff
170,Slam Dunk,Sports,TV,101,8.54,#109,"281,283",#795,Fall 1993,Toei Animation
171,Strange Dawn,"Adventure,Drama,Fantasy",TV,13,6.30,#7424,"5,466",#7674,Summer 2000,Hal Film Maker
173,Tactics,"Mystery,Supernatural",TV,25,7.20,#3052,"40,208",#3255,Fall 2004,Studio Deen
174,Tenjou Tenge,"Action,Comedy,Ecchi",TV,24,6.88,#4452,"183,912",#1193,Spring 2004,Madhouse
175,Tokyo Underground,"Action,Adventure,Romance,Sci-Fi",TV,26,6.59,#5898,"28,791",#3862,Spring 2002,Pierrot
176,Triangle Heart: Sweet Songs Forever,"Adventure,Romance",OVA,4,6.09,#8407,"6,851",#7002,,Seven Arcs
177,Tsubasa Chronicle,"Action,Adventure,Fantasy,Romance",TV,26,7.52,#1670,"222,084",#1003,Spring 2005,Bee Train
178,Ultra Maniac,"Comedy,Romance",TV,26,7.16,#3266,"32,362",#3636,Spring 2003,Ashi Productions
179,Ultra Maniac OVA,"Comedy,Romance",OVA,1,6.63,#5686,"5,540",#7627,,Ashi Productions
180,Vandread,"Action,Sci-Fi,Ecchi",TV,13,7.17,#3186,"82,410",#2162,Fall 2000,Gonzo
181,Vandread: The Second Stage,"Action,Sci-Fi,Ecchi",TV,13,7.39,#2099,"52,749",#2805,Fall 2001,Gonzo
182,Tenkuu no Escaflowne,"Adventure,Fantasy,Romance",TV,26,7.67,#1219,"150,147",#1415,Spring 1996,Sunrise
183,Whistle!,Sports,TV,39,7.39,#2100,"14,202",#5206,Spring 2002,Studio Comet
